date,departement,temperature,ensoleillement
2024-08-01,01,22.94,42229.07
2024-08-01,02,21.26,32000.71
2024-08-01,03,21.11,40941.11
2024-08-01,04,25.51,43319.45
2024-08-01,05,22.17,42156.65
2024-08-01,06,27.27,43270.00
2024-08-01,07,22.08,42359.17
2024-08-01,08,20.69,34588.06
2024-08-01,09,22.72,38914.89
2024-08-01,10,21.20,39812.55
2024-08-01,11,26.02,40864.39
2024-08-01,12,20.67,40343.49
2024-08-01,13,26.78,44331.88
2024-08-01,14,19.17,34201.72
2024-08-01,15,20.24,41114.29
2024-08-01,16,22.07,40716.29
2024-08-01,17,21.08,36746.67
2024-08-01,18,21.88,40529.05
2024-08-01,19,22.28,40321.92
2024-08-01,21,22.00,40466.26
2024-08-01,22,19.15,35168.32
2024-08-01,23,20.29,41185.75
2024-08-01,24,21.81,39908.94
2024-08-01,25,21.54,40136.91
2024-08-01,26,24.50,42100.98
2024-08-01,27,19.84,32827.70
2024-08-01,28,20.36,35835.11
2024-08-01,29,18.35,34212.73
2024-08-01,2A,26.04,42182.86
2024-08-01,2B,24.98,42458.68
2024-08-01,30,26.41,44226.72
2024-08-01,31,23.58,39836.48
2024-08-01,32,21.93,37646.79
2024-08-01,33,22.44,43039.56
2024-08-01,34,25.98,44620.18
2024-08-01,35,20.25,34336.50
2024-08-01,36,20.88,39678.31
2024-08-01,37,21.28,36794.84
2024-08-01,38,24.65,41109.13
2024-08-01,39,21.80,41642.14
2024-08-01,40,22.40,40447.33
2024-08-01,41,20.68,37760.00
2024-08-01,42,21.34,40637.39
2024-08-01,43,19.54,41074.86
2024-08-01,44,20.47,34394.05
2024-08-01,45,20.85,38254.85
2024-08-01,46,22.78,40465.82
2024-08-01,47,23.07,39783.50
2024-08-01,48,20.40,42966.39
2024-08-01,49,20.37,37711.07
2024-08-01,50,17.82,38357.02
2024-08-01,51,20.72,38029.88
2024-08-01,52,20.77,38661.16
2024-08-01,53,19.62,35546.78
2024-08-01,54,21.60,38142.38
2024-08-01,55,19.58,37191.56
2024-08-01,56,19.31,33588.36
2024-08-01,57,20.85,37074.47
2024-08-01,58,21.16,41845.97
2024-08-01,59,20.50,33027.04
2024-08-01,60,19.84,34344.25
2024-08-01,61,19.22,33261.79
2024-08-01,62,19.12,35778.06
2024-08-01,63,21.83,40280.08
2024-08-01,64,21.70,36681.85
2024-08-01,65,21.58,36209.51
2024-08-01,66,26.87,41510.49
2024-08-01,67,22.70,39716.12
2024-08-01,68,22.74,40979.21
2024-08-01,69,24.39,42589.70
2024-08-01,70,21.61,40415.12
2024-08-01,71,22.83,41337.97
2024-08-01,72,20.52,35514.80
2024-08-01,73,23.83,40505.82
2024-08-01,74,22.64,39958.16
2024-08-01,75,21.47,35907.90
2024-08-01,76,19.55,33742.55
2024-08-01,77,20.82,37089.82
2024-08-01,78,20.21,36028.07
2024-08-01,79,21.23,40402.51
2024-08-01,80,20.74,31964.05
2024-08-01,81,23.10,39569.86
2024-08-01,82,23.09,39534.06
2024-08-01,83,28.01,44640.74
2024-08-01,84,26.32,43770.97
2024-08-01,85,20.67,35930.81
2024-08-01,86,20.84,38772.10
2024-08-01,87,20.43,39336.42
2024-08-01,88,19.91,40045.57
2024-08-01,89,21.51,40109.76
2024-08-01,90,21.56,41126.56
2024-08-01,91,21.02,37458.84
2024-08-01,92,21.35,36221.70
2024-08-01,93,21.38,35577.70
2024-08-01,94,21.58,36492.10
2024-08-01,95,21.23,35152.19
2024-08-01,971,28.07,38120.58
2024-08-01,972,27.35,37844.67
2024-08-01,973,26.99,38417.31
2024-08-01,974,14.67,37357.82
2024-08-01,976,25.28,37876.89
