date,departement,temperature,ensoleillement
2024-04-01,01,11.61,31737.32
2024-04-01,02,10.44,28695.23
2024-04-01,03,11.48,32217.78
2024-04-01,04,12.95,39088.31
2024-04-01,05,9.90,37090.42
2024-04-01,06,15.11,39527.52
2024-04-01,07,10.49,33451.29
2024-04-01,08,9.87,26592.88
2024-04-01,09,12.36,38872.27
2024-04-01,10,11.26,28599.36
2024-04-01,11,14.32,33767.49
2024-04-01,12,9.98,32559.54
2024-04-01,13,15.48,40528.28
2024-04-01,14,11.09,30411.98
2024-04-01,15,9.48,31088.19
2024-04-01,16,13.14,33448.07
2024-04-01,17,13.12,36457.14
2024-04-01,18,11.72,30835.74
2024-04-01,19,12.39,32576.10
2024-04-01,21,10.93,28850.11
2024-04-01,22,11.17,34402.57
2024-04-01,23,10.44,33243.93
2024-04-01,24,12.85,33482.35
2024-04-01,25,10.38,27827.59
2024-04-01,26,12.64,37243.15
2024-04-01,27,11.22,29332.12
2024-04-01,28,10.93,28849.32
2024-04-01,29,11.12,29482.71
2024-04-01,2A,14.44,41881.56
2024-04-01,2B,13.00,40093.29
2024-04-01,30,13.81,36463.31
2024-04-01,31,13.35,34655.49
2024-04-01,32,12.48,36201.16
2024-04-01,33,13.80,38481.61
2024-04-01,34,13.81,36001.39
2024-04-01,35,11.71,33154.53
2024-04-01,36,11.67,32139.93
2024-04-01,37,12.32,32021.47
2024-04-01,38,13.75,35293.56
2024-04-01,39,10.94,28114.01
2024-04-01,40,13.33,36244.37
2024-04-01,41,11.46,31637.59
2024-04-01,42,10.06,30413.53
2024-04-01,43,8.48,32142.33
2024-04-01,44,12.26,33218.09
2024-04-01,45,11.51,30352.04
2024-04-01,46,12.75,32988.64
2024-04-01,47,13.52,35806.27
2024-04-01,48,8.78,34006.51
2024-04-01,49,11.96,32490.87
2024-04-01,50,10.62,33878.49
2024-04-01,51,11.00,29304.98
2024-04-01,52,10.94,27751.05
2024-04-01,53,11.12,31991.41
2024-04-01,54,11.19,29079.65
2024-04-01,55,10.19,29369.11
2024-04-01,56,11.59,32211.54
2024-04-01,57,10.72,28532.56
2024-04-01,58,10.97,31936.12
2024-04-01,59,10.30,28377.78
2024-04-01,60,11.06,30586.33
2024-04-01,61,10.66,29752.17
2024-04-01,62,10.86,28836.69
2024-04-01,63,11.60,31107.43
2024-04-01,64,12.89,35209.69
2024-04-01,65,12.34,37880.75
2024-04-01,66,15.15,35203.65
2024-04-01,67,11.85,27916.34
2024-04-01,68,11.58,30322.48
2024-04-01,69,12.72,32112.22
2024-04-01,70,10.58,27861.85
2024-04-01,71,11.41,29263.96
2024-04-01,72,11.95,30634.57
2024-04-01,73,11.95,34063.53
2024-04-01,74,10.79,33336.00
2024-04-01,75,12.05,29023.02
2024-04-01,76,11.49,29925.93
2024-04-01,77,11.41,29756.85
2024-04-01,78,10.99,29713.24
2024-04-01,79,12.43,33015.71
2024-04-01,80,10.57,29538.99
2024-04-01,81,12.80,33111.08
2024-04-01,82,13.00,33580.91
2024-04-01,83,16.00,40498.68
2024-04-01,84,13.69,37916.44
2024-04-01,85,12.33,33956.13
2024-04-01,86,11.86,32944.49
2024-04-01,87,11.12,32460.36
2024-04-01,88,9.41,26948.32
2024-04-01,89,11.75,29065.58
2024-04-01,90,10.41,28748.80
2024-04-01,91,11.70,29411.14
2024-04-01,92,12.08,29327.49
2024-04-01,93,12.19,28949.01
2024-04-01,94,12.19,29063.69
2024-04-01,95,12.04,29214.40
2024-04-01,971,27.07,41146.80
2024-04-01,972,26.76,41824.00
2024-04-01,973,27.02,26342.23
2024-04-01,974,19.69,29879.95
2024-04-01,976,28.75,35017.98
