date,departement,temperature,ensoleillement
2024-10-01,01,14.49,19236.65
2024-10-01,02,13.07,16262.86
2024-10-01,03,14.54,20919.85
2024-10-01,04,15.57,26491.69
2024-10-01,05,12.89,23799.91
2024-10-01,06,18.58,24302.08
2024-10-01,07,13.62,21808.51
2024-10-01,08,12.78,17408.85
2024-10-01,09,15.16,25649.84
2024-10-01,10,13.66,17019.23
2024-10-01,11,17.38,24102.08
2024-10-01,12,14.12,23230.55
2024-10-01,13,19.15,29274.02
2024-10-01,14,13.22,20093.77
2024-10-01,15,13.59,22820.14
2024-10-01,16,15.41,20057.27
2024-10-01,17,15.45,22408.08
2024-10-01,18,14.19,18068.19
2024-10-01,19,15.15,21059.57
2024-10-01,21,13.42,15827.33
2024-10-01,22,13.70,23789.02
2024-10-01,23,13.57,20846.90
2024-10-01,24,15.27,22001.28
2024-10-01,25,13.09,17801.55
2024-10-01,26,15.48,23097.96
2024-10-01,27,13.17,15821.27
2024-10-01,28,13.09,16000.55
2024-10-01,29,13.76,22198.51
2024-10-01,2A,18.36,26435.91
2024-10-01,2B,16.62,24961.62
2024-10-01,30,17.08,22282.62
2024-10-01,31,16.49,22108.86
2024-10-01,32,15.29,19380.35
2024-10-01,33,16.12,23050.94
2024-10-01,34,17.04,22450.59
2024-10-01,35,14.17,22724.96
2024-10-01,36,14.12,18086.94
2024-10-01,37,14.23,16032.78
2024-10-01,38,16.01,24020.49
2024-10-01,39,13.40,17184.23
2024-10-01,40,15.76,23094.06
2024-10-01,41,13.54,15524.07
2024-10-01,42,13.66,22405.00
2024-10-01,43,12.25,21985.76
2024-10-01,44,14.46,20339.59
2024-10-01,45,13.69,15328.62
2024-10-01,46,15.57,22580.85
2024-10-01,47,16.12,21253.91
2024-10-01,48,12.88,23412.16
2024-10-01,49,14.01,18847.11
2024-10-01,50,13.28,25502.23
2024-10-01,51,13.12,17153.19
2024-10-01,52,13.59,16451.12
2024-10-01,53,13.38,20830.48
2024-10-01,54,12.81,14641.90
2024-10-01,55,12.54,16750.22
2024-10-01,56,14.06,23295.04
2024-10-01,57,12.41,15823.73
2024-10-01,58,14.05,19745.52
2024-10-01,59,12.82,18251.22
2024-10-01,60,12.61,16156.43
2024-10-01,61,12.76,17579.18
2024-10-01,62,13.04,17130.40
2024-10-01,63,14.84,23203.82
2024-10-01,64,15.25,21692.53
2024-10-01,65,14.71,24062.55
2024-10-01,66,18.34,24057.84
2024-10-01,67,13.07,13220.82
2024-10-01,68,13.15,14499.74
2024-10-01,69,15.45,21299.70
2024-10-01,70,13.11,15590.25
2024-10-01,71,13.97,16421.52
2024-10-01,72,13.78,16213.75
2024-10-01,73,14.46,22958.39
2024-10-01,74,13.13,23216.72
2024-10-01,75,13.76,14569.36
2024-10-01,76,13.84,18500.61
2024-10-01,77,13.45,15554.20
2024-10-01,78,13.00,15044.45
2024-10-01,79,14.73,21679.34
2024-10-01,80,13.18,15410.42
2024-10-01,81,16.50,23200.08
2024-10-01,82,15.86,22237.99
2024-10-01,83,19.11,25000.19
2024-10-01,84,16.95,25909.61
2024-10-01,85,14.60,22347.08
2024-10-01,86,13.95,18083.76
2024-10-01,87,14.17,20565.29
2024-10-01,88,11.78,15931.67
2024-10-01,89,14.26,17767.21
2024-10-01,90,12.64,16675.18
2024-10-01,91,13.65,15410.64
2024-10-01,92,13.74,14618.16
2024-10-01,93,13.69,14558.15
2024-10-01,94,13.94,14756.35
2024-10-01,95,13.66,14671.45
2024-10-01,971,28.03,37977.63
2024-10-01,972,27.52,37862.48
2024-10-01,973,27.88,37495.84
2024-10-01,974,16.92,38797.20
2024-10-01,976,27.01,41351.04
