date,departement,temperature,ensoleillement
2024-11-01,01,7.93,12994.61
2024-11-01,02,7.90,11608.21
2024-11-01,03,9.41,17011.48
2024-11-01,04,9.89,25662.09
2024-11-01,05,7.67,25229.81
2024-11-01,06,14.10,24272.02
2024-11-01,07,7.46,22616.37
2024-11-01,08,7.09,12793.42
2024-11-01,09,10.85,26005.16
2024-11-01,10,7.48,9995.14
2024-11-01,11,12.61,24181.53
2024-11-01,12,8.54,22225.94
2024-11-01,13,14.38,28275.14
2024-11-01,14,9.21,10870.36
2024-11-01,15,8.66,22016.23
2024-11-01,16,11.14,19903.19
2024-11-01,17,11.47,19782.22
2024-11-01,18,8.69,12208.10
2024-11-01,19,10.05,19573.31
2024-11-01,21,6.96,11231.09
2024-11-01,22,10.38,10046.14
2024-11-01,23,9.25,20576.91
2024-11-01,24,10.75,20034.74
2024-11-01,25,6.72,16737.43
2024-11-01,26,8.92,20453.02
2024-11-01,27,8.39,9719.09
2024-11-01,28,7.84,8754.74
2024-11-01,29,11.43,13061.09
2024-11-01,2A,14.49,28060.39
2024-11-01,2B,12.12,27758.16
2024-11-01,30,11.36,24028.13
2024-11-01,31,11.31,22150.07
2024-11-01,32,10.77,21824.24
2024-11-01,33,11.81,20930.97
2024-11-01,34,11.55,24833.59
2024-11-01,35,9.93,9480.26
2024-11-01,36,9.04,13613.34
2024-11-01,37,9.14,10197.27
2024-11-01,38,9.49,22916.93
2024-11-01,39,7.16,13236.56
2024-11-01,40,11.40,22416.23
2024-11-01,41,8.28,7707.22
2024-11-01,42,7.71,19750.12
2024-11-01,43,6.66,22377.76
2024-11-01,44,10.18,11037.20
2024-11-01,45,8.14,8291.73
2024-11-01,46,10.33,20075.76
2024-11-01,47,11.17,19617.40
2024-11-01,48,7.65,24171.42
2024-11-01,49,9.31,9856.61
2024-11-01,50,10.02,17457.61
2024-11-01,51,7.57,9836.77
2024-11-01,52,7.37,11964.82
2024-11-01,53,8.95,9320.22
2024-11-01,54,6.65,9789.62
2024-11-01,55,6.70,9843.28
2024-11-01,56,11.11,11859.71
2024-11-01,57,6.59,6579.70
2024-11-01,58,8.37,13548.40
2024-11-01,59,7.94,10687.49
2024-11-01,60,7.87,9239.03
2024-11-01,61,8.13,10930.44
2024-11-01,62,9.01,8641.52
2024-11-01,63,9.28,18989.50
2024-11-01,64,11.61,24505.44
2024-11-01,65,10.94,24410.72
2024-11-01,66,14.07,25690.63
2024-11-01,67,6.68,9348.34
2024-11-01,68,6.36,13820.01
2024-11-01,69,8.76,15492.62
2024-11-01,70,6.67,14557.29
2024-11-01,71,7.54,10503.90
2024-11-01,72,8.92,9049.03
2024-11-01,73,8.21,20802.93
2024-11-01,74,6.98,22626.53
2024-11-01,75,8.48,9906.90
2024-11-01,76,9.64,9987.52
2024-11-01,77,8.04,9774.72
2024-11-01,78,7.81,9762.39
2024-11-01,79,10.44,19812.48
2024-11-01,80,8.34,10522.45
2024-11-01,81,11.07,22950.45
2024-11-01,82,10.41,20986.97
2024-11-01,83,14.93,27917.72
2024-11-01,84,10.69,23561.24
2024-11-01,85,10.70,15549.90
2024-11-01,86,9.36,14167.98
2024-11-01,87,9.82,20332.08
2024-11-01,88,5.25,14922.01
2024-11-01,89,8.14,10853.30
2024-11-01,90,5.95,14190.98
2024-11-01,91,8.01,7899.93
2024-11-01,92,8.58,10035.32
2024-11-01,93,8.53,10180.36
2024-11-01,94,8.48,9279.50
2024-11-01,95,8.51,11068.90
2024-11-01,971,27.08,31791.08
2024-11-01,972,26.68,33858.26
2024-11-01,973,26.95,33216.76
2024-11-01,974,18.83,40417.88
2024-11-01,976,27.89,42001.85
