date,departement,temperature,ensoleillement
2024-06-01,01,19.30,31990.00
2024-06-01,02,15.83,33827.23
2024-06-01,03,17.89,29224.63
2024-06-01,04,20.40,44728.28
2024-06-01,05,17.01,40704.01
2024-06-01,06,21.27,40813.43
2024-06-01,07,17.77,36922.35
2024-06-01,08,15.98,31881.99
2024-06-01,09,19.58,39569.35
2024-06-01,10,17.70,33607.83
2024-06-01,11,21.60,44297.07
2024-06-01,12,17.32,35677.08
2024-06-01,13,22.10,43499.98
2024-06-01,14,15.23,36689.14
2024-06-01,15,16.56,32954.01
2024-06-01,16,19.30,38101.78
2024-06-01,17,18.83,40693.22
2024-06-01,18,18.33,34015.85
2024-06-01,19,19.02,33306.15
2024-06-01,21,18.43,31577.52
2024-06-01,22,15.68,40031.07
2024-06-01,23,16.51,30881.95
2024-06-01,24,19.05,35773.00
2024-06-01,25,18.06,30113.08
2024-06-01,26,20.26,37929.39
2024-06-01,27,16.36,34622.23
2024-06-01,28,16.92,35601.67
2024-06-01,29,15.75,41277.75
2024-06-01,2A,21.29,45568.82
2024-06-01,2B,19.59,44165.39
2024-06-01,30,21.34,43731.13
2024-06-01,31,20.55,36298.88
2024-06-01,32,19.01,36393.38
2024-06-01,33,19.74,40503.53
2024-06-01,34,21.08,43248.69
2024-06-01,35,17.30,39532.21
2024-06-01,36,18.00,34160.58
2024-06-01,37,18.60,35383.81
2024-06-01,38,20.97,36050.56
2024-06-01,39,18.52,31517.50
2024-06-01,40,19.52,40569.27
2024-06-01,41,17.57,35044.50
2024-06-01,42,17.45,32228.76
2024-06-01,43,15.86,32784.20
2024-06-01,44,18.00,38095.22
2024-06-01,45,17.72,34879.91
2024-06-01,46,19.80,34398.57
2024-06-01,47,20.14,35122.50
2024-06-01,48,16.33,39664.34
2024-06-01,49,17.67,37531.64
2024-06-01,50,14.61,45732.13
2024-06-01,51,16.98,32904.99
2024-06-01,52,17.42,33332.72
2024-06-01,53,16.73,38927.14
2024-06-01,54,18.22,34494.44
2024-06-01,55,16.52,32805.29
2024-06-01,56,17.15,39874.74
2024-06-01,57,17.59,34222.04
2024-06-01,58,17.89,31996.65
2024-06-01,59,15.37,34750.26
2024-06-01,60,16.13,35443.88
2024-06-01,61,16.09,35900.91
2024-06-01,62,15.36,38041.49
2024-06-01,63,18.36,29443.65
2024-06-01,64,18.73,37184.52
2024-06-01,65,18.62,36845.34
2024-06-01,66,22.50,44708.23
2024-06-01,67,19.55,33229.08
2024-06-01,68,19.26,31455.24
2024-06-01,69,20.59,34046.69
2024-06-01,70,18.02,30132.52
2024-06-01,71,19.05,31056.00
2024-06-01,72,17.81,35747.76
2024-06-01,73,19.82,33708.60
2024-06-01,74,18.90,32276.52
2024-06-01,75,17.93,35431.78
2024-06-01,76,15.90,38054.27
2024-06-01,77,17.16,35481.11
2024-06-01,78,16.66,36096.07
2024-06-01,79,18.77,40549.75
2024-06-01,80,15.60,34734.79
2024-06-01,81,20.07,37843.21
2024-06-01,82,20.23,37211.87
2024-06-01,83,22.44,44376.14
2024-06-01,84,21.72,43794.48
2024-06-01,85,18.51,38595.36
2024-06-01,86,18.01,36561.16
2024-06-01,87,17.42,34984.86
2024-06-01,88,16.39,31401.63
2024-06-01,89,18.24,34139.55
2024-06-01,90,17.90,30113.36
2024-06-01,91,17.71,34767.42
2024-06-01,92,17.86,36053.28
2024-06-01,93,17.80,34871.57
2024-06-01,94,18.16,34684.69
2024-06-01,95,17.63,35371.36
2024-06-01,971,28.18,39399.93
2024-06-01,972,27.71,38704.15
2024-06-01,973,26.49,25350.79
2024-06-01,974,15.65,29501.79
2024-06-01,976,26.33,36312.30
