date,departement,temperature,ensoleillement
2024-02-01,01,8.12,14860.04
2024-02-01,02,8.10,7595.75
2024-02-01,03,8.20,14548.80
2024-02-01,04,8.66,25952.32
2024-02-01,05,6.79,26011.96
2024-02-01,06,11.69,23830.20
2024-02-01,07,6.84,21009.35
2024-02-01,08,7.32,5910.42
2024-02-01,09,8.58,26923.59
2024-02-01,10,8.48,8754.91
2024-02-01,11,11.16,28867.55
2024-02-01,12,6.66,17664.24
2024-02-01,13,11.82,28672.44
2024-02-01,14,9.63,11046.19
2024-02-01,15,6.24,16718.37
2024-02-01,16,9.53,13910.65
2024-02-01,17,10.37,16993.11
2024-02-01,18,8.40,9373.13
2024-02-01,19,8.28,13529.53
2024-02-01,21,7.60,12901.39
2024-02-01,22,10.00,14912.47
2024-02-01,23,6.87,15591.77
2024-02-01,24,8.82,14032.94
2024-02-01,25,7.41,12036.63
2024-02-01,26,8.75,19354.16
2024-02-01,27,9.23,8650.77
2024-02-01,28,8.53,9032.67
2024-02-01,29,10.45,12130.74
2024-02-01,2A,11.33,23046.47
2024-02-01,2B,9.83,23636.91
2024-02-01,30,10.66,25617.10
2024-02-01,31,9.20,19573.12
2024-02-01,32,8.78,20106.24
2024-02-01,33,10.07,19829.11
2024-02-01,34,10.21,25525.86
2024-02-01,35,10.03,14358.66
2024-02-01,36,8.47,10843.63
2024-02-01,37,9.20,9539.15
2024-02-01,38,9.08,22566.82
2024-02-01,39,7.73,12686.62
2024-02-01,40,9.68,20154.54
2024-02-01,41,8.60,9012.14
2024-02-01,42,6.46,18729.38
2024-02-01,43,5.30,18585.07
2024-02-01,44,10.31,14229.54
2024-02-01,45,8.66,8735.99
2024-02-01,46,8.58,17585.95
2024-02-01,47,9.33,16846.75
2024-02-01,48,5.50,21227.56
2024-02-01,49,9.68,13564.94
2024-02-01,50,9.46,15251.93
2024-02-01,51,8.43,7686.69
2024-02-01,52,8.21,8711.37
2024-02-01,53,9.16,12531.91
2024-02-01,54,8.19,12980.47
2024-02-01,55,7.61,9533.87
2024-02-01,56,10.62,13557.47
2024-02-01,57,7.81,11341.51
2024-02-01,58,7.98,10017.15
2024-02-01,59,8.29,7802.95
2024-02-01,60,8.83,8295.63
2024-02-01,61,8.63,9871.88
2024-02-01,62,9.11,10049.26
2024-02-01,63,7.87,17343.91
2024-02-01,64,9.38,21625.01
2024-02-01,65,8.92,24591.13
2024-02-01,66,12.92,30483.25
2024-02-01,67,8.41,14125.71
2024-02-01,68,8.36,16756.65
2024-02-01,69,8.79,16702.68
2024-02-01,70,7.68,11476.15
2024-02-01,71,8.07,14182.12
2024-02-01,72,9.32,9014.79
2024-02-01,73,7.85,20518.11
2024-02-01,74,6.74,21104.42
2024-02-01,75,9.27,8796.06
2024-02-01,76,9.59,8786.97
2024-02-01,77,8.78,7283.22
2024-02-01,78,8.51,9266.07
2024-02-01,79,9.48,15013.72
2024-02-01,80,8.75,7592.39
2024-02-01,81,8.86,16130.93
2024-02-01,82,8.92,17303.41
2024-02-01,83,12.34,28753.06
2024-02-01,84,9.98,25155.78
2024-02-01,85,10.07,14489.95
2024-02-01,86,8.79,11230.94
2024-02-01,87,7.37,13259.58
2024-02-01,88,6.48,11033.42
2024-02-01,89,8.79,8879.52
2024-02-01,90,7.28,11892.59
2024-02-01,91,8.82,8384.56
2024-02-01,92,9.39,9772.68
2024-02-01,93,9.34,8586.61
2024-02-01,94,9.29,8540.47
2024-02-01,95,9.28,8665.22
2024-02-01,971,25.55,36131.70
2024-02-01,972,25.44,36975.94
2024-02-01,973,26.75,36568.08
2024-02-01,974,20.51,33372.24
2024-02-01,976,28.23,34932.31
