date,departement,temperature,ensoleillement
2024-05-01,01,15.23,28377.75
2024-05-01,02,14.02,26276.11
2024-05-01,03,14.16,25177.53
2024-05-01,04,15.68,38190.16
2024-05-01,05,12.28,34110.49
2024-05-01,06,17.88,41181.12
2024-05-01,07,13.42,30180.78
2024-05-01,08,14.01,25164.85
2024-05-01,09,14.74,40603.52
2024-05-01,10,14.92,28734.48
2024-05-01,11,17.26,42358.25
2024-05-01,12,12.58,29881.04
2024-05-01,13,18.34,41078.71
2024-05-01,14,14.15,33930.89
2024-05-01,15,11.76,26208.04
2024-05-01,16,15.09,28499.23
2024-05-01,17,15.61,33307.56
2024-05-01,18,14.55,27288.66
2024-05-01,19,14.38,26358.26
2024-05-01,21,14.77,27316.50
2024-05-01,22,14.21,39258.79
2024-05-01,23,12.47,25562.19
2024-05-01,24,14.63,30074.73
2024-05-01,25,14.26,28090.63
2024-05-01,26,15.79,32864.61
2024-05-01,27,14.61,31918.92
2024-05-01,28,14.29,31547.84
2024-05-01,29,14.25,35419.45
2024-05-01,2A,17.39,43044.76
2024-05-01,2B,16.14,42636.18
2024-05-01,30,17.18,37771.56
2024-05-01,31,15.97,32530.68
2024-05-01,32,14.67,31858.80
2024-05-01,33,15.64,36866.99
2024-05-01,34,16.93,38312.37
2024-05-01,35,14.97,34249.04
2024-05-01,36,14.22,27317.21
2024-05-01,37,15.04,27571.72
2024-05-01,38,16.40,30900.80
2024-05-01,39,14.48,29140.97
2024-05-01,40,15.34,34836.93
2024-05-01,41,14.23,27764.57
2024-05-01,42,13.03,29257.51
2024-05-01,43,11.33,30595.51
2024-05-01,44,15.12,31032.78
2024-05-01,45,14.49,28146.77
2024-05-01,46,14.96,29538.82
2024-05-01,47,15.75,30150.29
2024-05-01,48,11.45,33740.99
2024-05-01,49,14.85,30727.57
2024-05-01,50,13.29,40280.62
2024-05-01,51,14.69,27517.30
2024-05-01,52,14.97,28012.00
2024-05-01,53,14.24,31413.16
2024-05-01,54,15.20,27350.96
2024-05-01,55,14.41,26448.17
2024-05-01,56,14.89,35526.50
2024-05-01,57,14.97,26782.96
2024-05-01,58,14.04,26108.96
2024-05-01,59,14.11,29864.45
2024-05-01,60,14.33,29595.89
2024-05-01,61,13.81,30500.89
2024-05-01,62,13.85,32853.17
2024-05-01,63,14.28,25002.33
2024-05-01,64,14.71,33562.39
2024-05-01,65,14.27,34411.48
2024-05-01,66,18.06,40200.77
2024-05-01,67,16.16,27211.56
2024-05-01,68,15.76,29172.66
2024-05-01,69,16.20,28877.47
2024-05-01,70,14.49,27008.27
2024-05-01,71,15.06,29349.79
2024-05-01,72,14.97,29476.50
2024-05-01,73,15.59,30233.05
2024-05-01,74,14.48,29863.76
2024-05-01,75,15.50,29765.80
2024-05-01,76,14.69,33085.25
2024-05-01,77,14.89,29029.39
2024-05-01,78,14.43,31876.52
2024-05-01,79,14.86,32729.93
2024-05-01,80,14.08,28148.99
2024-05-01,81,15.46,32235.68
2024-05-01,82,15.49,31822.14
2024-05-01,83,18.70,42538.26
2024-05-01,84,16.97,36952.67
2024-05-01,85,14.95,30066.70
2024-05-01,86,14.16,27918.01
2024-05-01,87,13.17,26948.06
2024-05-01,88,13.21,26735.33
2024-05-01,89,14.92,28943.05
2024-05-01,90,14.28,28533.72
2024-05-01,91,15.06,29263.13
2024-05-01,92,15.52,30611.69
2024-05-01,93,15.55,30729.04
2024-05-01,94,15.63,29058.23
2024-05-01,95,15.46,30794.04
2024-05-01,971,28.15,39820.58
2024-05-01,972,27.83,39881.70
2024-05-01,973,26.59,17815.90
2024-05-01,974,17.48,33249.11
2024-05-01,976,27.64,34012.25
