date,departement,temperature,ensoleillement
2024-07-01,01,21.74,38109.98
2024-07-01,02,20.18,27622.85
2024-07-01,03,20.85,38183.35
2024-07-01,04,24.64,48269.06
2024-07-01,05,21.02,45434.55
2024-07-01,06,25.51,46439.61
2024-07-01,07,20.81,41927.04
2024-07-01,08,19.53,30391.20
2024-07-01,09,22.85,42018.11
2024-07-01,10,20.44,35438.18
2024-07-01,11,24.89,46389.24
2024-07-01,12,20.52,41954.87
2024-07-01,13,25.92,47129.21
2024-07-01,14,18.33,32827.26
2024-07-01,15,19.65,41642.30
2024-07-01,16,21.86,41062.13
2024-07-01,17,20.68,40276.60
2024-07-01,18,21.15,38952.51
2024-07-01,19,21.79,41504.34
2024-07-01,21,21.03,38180.83
2024-07-01,22,17.89,34312.98
2024-07-01,23,19.66,39666.09
2024-07-01,24,21.77,42609.52
2024-07-01,25,20.41,38041.64
2024-07-01,26,23.38,44445.63
2024-07-01,27,19.39,34634.75
2024-07-01,28,19.81,36583.75
2024-07-01,29,17.29,32514.86
2024-07-01,2A,24.73,45946.54
2024-07-01,2B,24.01,45680.45
2024-07-01,30,25.15,46213.25
2024-07-01,31,23.53,41743.05
2024-07-01,32,22.11,43468.11
2024-07-01,33,22.14,45466.80
2024-07-01,34,24.54,46587.73
2024-07-01,35,19.46,35313.03
2024-07-01,36,20.85,38382.89
2024-07-01,37,21.10,36869.26
2024-07-01,38,24.05,43088.92
2024-07-01,39,20.80,38214.80
2024-07-01,40,22.29,44274.71
2024-07-01,41,20.37,37193.28
2024-07-01,42,20.41,39836.13
2024-07-01,43,18.95,41028.49
2024-07-01,44,19.79,34267.78
2024-07-01,45,20.52,37510.09
2024-07-01,46,22.76,43342.38
2024-07-01,47,22.98,43086.11
2024-07-01,48,19.84,44486.02
2024-07-01,49,20.05,37326.50
2024-07-01,50,16.88,37525.65
2024-07-01,51,19.70,33082.75
2024-07-01,52,19.87,34576.11
2024-07-01,53,19.24,37072.89
2024-07-01,54,20.32,34604.34
2024-07-01,55,18.84,34294.00
2024-07-01,56,18.45,33224.75
2024-07-01,57,19.76,34236.33
2024-07-01,58,20.43,37425.14
2024-07-01,59,19.41,31429.95
2024-07-01,60,19.21,31746.82
2024-07-01,61,18.72,33747.82
2024-07-01,62,17.92,32472.48
2024-07-01,63,21.31,39384.19
2024-07-01,64,21.59,41749.71
2024-07-01,65,21.55,41614.01
2024-07-01,66,25.74,46398.60
2024-07-01,67,21.42,35204.04
2024-07-01,68,21.42,37986.50
2024-07-01,69,23.22,39255.77
2024-07-01,70,20.28,36799.65
2024-07-01,71,21.56,39368.96
2024-07-01,72,20.30,36482.58
2024-07-01,73,22.84,40802.27
2024-07-01,74,21.92,40687.39
2024-07-01,75,20.71,34591.22
2024-07-01,76,18.84,33570.45
2024-07-01,77,20.03,35005.13
2024-07-01,78,19.54,36279.28
2024-07-01,79,21.07,39905.74
2024-07-01,80,19.75,28326.98
2024-07-01,81,23.09,42539.39
2024-07-01,82,23.16,43685.60
2024-07-01,83,26.77,47474.53
2024-07-01,84,25.22,46660.57
2024-07-01,85,20.27,35769.45
2024-07-01,86,20.70,39444.11
2024-07-01,87,20.19,40256.53
2024-07-01,88,18.46,34862.94
2024-07-01,89,20.93,36142.62
2024-07-01,90,20.18,37513.98
2024-07-01,91,20.51,37258.18
2024-07-01,92,20.65,34818.32
2024-07-01,93,20.66,33693.97
2024-07-01,94,20.90,35725.12
2024-07-01,95,20.51,34103.72
2024-07-01,971,28.07,38081.83
2024-07-01,972,27.45,39046.12
2024-07-01,973,26.58,33989.48
2024-07-01,974,14.85,34693.37
2024-07-01,976,25.30,36620.13
