date,departement,temperature,ensoleillement
2024-09-01,01,16.09,24806.91
2024-09-01,02,16.22,23427.29
2024-09-01,03,15.32,23433.72
2024-09-01,04,17.64,34116.24
2024-09-01,05,13.98,29502.24
2024-09-01,06,21.49,32074.46
2024-09-01,07,14.90,27686.81
2024-09-01,08,15.35,24815.89
2024-09-01,09,16.51,33231.56
2024-09-01,10,16.00,23382.53
2024-09-01,11,19.75,35477.02
2024-09-01,12,14.49,24913.21
2024-09-01,13,20.73,35380.72
2024-09-01,14,15.37,23749.49
2024-09-01,15,13.35,23021.97
2024-09-01,16,16.36,26288.09
2024-09-01,17,17.15,30112.40
2024-09-01,18,15.77,23105.74
2024-09-01,19,15.85,22294.16
2024-09-01,21,15.85,24234.02
2024-09-01,22,15.54,25465.15
2024-09-01,23,13.79,24056.39
2024-09-01,24,15.98,23685.67
2024-09-01,25,15.13,24152.18
2024-09-01,26,17.12,28633.21
2024-09-01,27,15.46,23185.91
2024-09-01,28,15.26,23325.24
2024-09-01,29,15.52,26422.82
2024-09-01,2A,20.69,32245.10
2024-09-01,2B,19.30,32695.08
2024-09-01,30,19.15,33347.84
2024-09-01,31,17.53,26046.45
2024-09-01,32,16.28,29333.59
2024-09-01,33,17.33,31129.85
2024-09-01,34,18.95,33632.66
2024-09-01,35,15.82,25521.10
2024-09-01,36,15.34,24424.76
2024-09-01,37,16.24,23166.35
2024-09-01,38,17.38,26893.66
2024-09-01,39,15.54,24955.50
2024-09-01,40,16.83,30140.13
2024-09-01,41,15.41,24475.91
2024-09-01,42,14.39,25406.59
2024-09-01,43,12.93,26109.07
2024-09-01,44,16.03,26850.46
2024-09-01,45,15.57,24200.43
2024-09-01,46,16.44,24538.31
2024-09-01,47,17.17,26951.80
2024-09-01,48,13.09,28157.42
2024-09-01,49,15.88,27778.56
2024-09-01,50,15.07,27027.28
2024-09-01,51,15.92,24555.45
2024-09-01,52,15.96,23917.63
2024-09-01,53,15.33,24988.70
2024-09-01,54,16.21,24126.86
2024-09-01,55,15.41,25663.96
2024-09-01,56,16.00,29705.28
2024-09-01,57,15.97,24931.37
2024-09-01,58,15.41,23310.85
2024-09-01,59,16.11,23101.37
2024-09-01,60,15.35,23636.62
2024-09-01,61,14.86,23021.65
2024-09-01,62,16.06,23013.34
2024-09-01,63,15.65,23347.09
2024-09-01,64,16.19,29920.15
2024-09-01,65,15.81,30102.68
2024-09-01,66,20.85,35257.79
2024-09-01,67,16.85,22217.55
2024-09-01,68,16.03,22526.51
2024-09-01,69,17.21,25005.70
2024-09-01,70,15.44,24797.07
2024-09-01,71,16.18,25760.95
2024-09-01,72,15.93,23385.75
2024-09-01,73,16.61,25496.25
2024-09-01,74,15.31,24608.71
2024-09-01,75,16.23,22724.09
2024-09-01,76,16.11,23392.04
2024-09-01,77,15.88,24118.20
2024-09-01,78,15.12,22501.58
2024-09-01,79,16.11,26381.36
2024-09-01,80,16.18,23169.47
2024-09-01,81,16.93,26051.68
2024-09-01,82,16.71,25692.78
2024-09-01,83,21.34,34276.81
2024-09-01,84,18.99,33158.97
2024-09-01,85,16.14,27466.85
2024-09-01,86,15.51,25925.35
2024-09-01,87,14.74,23096.45
2024-09-01,88,14.00,23885.22
2024-09-01,89,16.10,23110.48
2024-09-01,90,15.03,23018.55
2024-09-01,91,15.94,23014.41
2024-09-01,92,16.21,22782.61
2024-09-01,93,16.23,22650.47
2024-09-01,94,16.41,23242.34
2024-09-01,95,16.13,22589.70
2024-09-01,971,27.97,34207.56
2024-09-01,972,27.39,34321.34
2024-09-01,973,27.70,39749.47
2024-09-01,974,15.68,37753.56
2024-09-01,976,25.94,39434.06
