date,departement,temperature,ensoleillement
2024-12-01,01,3.14,10135.80
2024-12-01,02,5.36,7800.41
2024-12-01,03,5.04,12130.17
2024-12-01,04,5.13,24202.58
2024-12-01,05,3.86,22540.74
2024-12-01,06,10.74,24693.28
2024-12-01,07,2.80,19376.60
2024-12-01,08,4.13,7625.40
2024-12-01,09,6.51,21997.65
2024-12-01,10,4.73,6581.06
2024-12-01,11,8.33,24170.74
2024-12-01,12,3.34,17140.07
2024-12-01,13,9.94,25811.05
2024-12-01,14,7.57,6867.15
2024-12-01,15,3.90,16326.20
2024-12-01,16,6.60,13866.18
2024-12-01,17,8.31,17270.97
2024-12-01,18,5.26,8764.29
2024-12-01,19,4.98,13791.79
2024-12-01,21,3.11,7355.31
2024-12-01,22,8.30,11961.40
2024-12-01,23,4.60,14346.49
2024-12-01,24,6.04,14034.39
2024-12-01,25,2.60,10797.52
2024-12-01,26,3.97,16330.87
2024-12-01,27,6.44,5735.10
2024-12-01,28,5.71,7183.85
2024-12-01,29,9.31,12549.44
2024-12-01,2A,10.25,24306.62
2024-12-01,2B,8.41,23648.95
2024-12-01,30,6.94,23472.22
2024-12-01,31,6.76,14016.23
2024-12-01,32,6.64,14502.87
2024-12-01,33,7.80,18474.31
2024-12-01,34,7.32,24236.93
2024-12-01,35,7.70,13286.50
2024-12-01,36,5.50,9769.52
2024-12-01,37,6.60,9463.28
2024-12-01,38,3.58,17833.78
2024-12-01,39,2.93,8646.99
2024-12-01,40,7.55,17975.74
2024-12-01,41,5.85,8180.68
2024-12-01,42,3.00,14431.54
2024-12-01,43,1.71,15241.42
2024-12-01,44,7.71,15261.01
2024-12-01,45,5.72,7056.50
2024-12-01,46,5.52,14264.20
2024-12-01,47,6.90,12341.88
2024-12-01,48,3.00,20780.23
2024-12-01,49,6.97,9978.40
2024-12-01,50,8.35,9929.24
2024-12-01,51,4.86,7308.15
2024-12-01,52,4.24,5329.94
2024-12-01,53,6.65,9241.99
2024-12-01,54,3.55,7715.74
2024-12-01,55,3.79,6008.87
2024-12-01,56,8.84,13348.95
2024-12-01,57,3.39,5873.86
2024-12-01,58,4.57,7988.78
2024-12-01,59,6.06,6398.60
2024-12-01,60,5.87,6017.61
2024-12-01,61,5.98,7066.52
2024-12-01,62,7.54,5722.06
2024-12-01,63,4.27,15260.40
2024-12-01,64,7.38,17600.74
2024-12-01,65,6.71,17616.27
2024-12-01,66,10.13,24165.06
2024-12-01,67,3.53,9034.49
2024-12-01,68,3.44,12328.39
2024-12-01,69,3.59,11242.28
2024-12-01,70,3.04,10322.92
2024-12-01,71,3.42,7295.50
2024-12-01,72,6.72,8989.51
2024-12-01,73,2.80,15014.33
2024-12-01,74,1.84,16450.19
2024-12-01,75,6.24,7369.53
2024-12-01,76,7.97,5191.32
2024-12-01,77,5.66,6294.97
2024-12-01,78,5.61,7628.02
2024-12-01,79,6.99,14481.80
2024-12-01,80,6.52,7056.05
2024-12-01,81,5.52,14410.34
2024-12-01,82,5.94,12421.97
2024-12-01,83,11.11,25278.23
2024-12-01,84,5.71,22700.90
2024-12-01,85,7.64,15738.01
2024-12-01,86,6.17,12120.49
2024-12-01,87,4.99,14517.32
2024-12-01,88,2.27,9486.23
2024-12-01,89,5.24,6725.59
2024-12-01,90,2.92,12842.49
2024-12-01,91,5.76,7238.88
2024-12-01,92,6.38,8147.53
2024-12-01,93,6.23,6824.81
2024-12-01,94,6.24,7290.53
2024-12-01,95,6.25,6937.63
2024-12-01,971,26.15,34948.68
2024-12-01,972,25.43,35853.90
2024-12-01,973,25.92,27138.21
2024-12-01,974,19.46,43644.43
2024-12-01,976,27.96,39968.98
